seeds;33;158;140;190;26;
spreads;1.2;2.4;3.4;4.4;5.4;
seeds;9;44;164;176;186;
spreads;1.0;2.4;3.2;4.4;5.6;
seeds;19;107;82;24;161;
spreads;1.2;2.2;3.2;4.8;5.8;
seeds;93;129;46;5;34;
spreads;2.8;3.0;5.4;6.4;7.0;
seeds;30;118;135;186;22;
spreads;1.4;2.6;5.6;6.4;5.8;
seeds;38;91;89;55;96;
spreads;2.0;2.8;6.8;5.6;7.2;
seeds;31;55;176;178;91;
spreads;4.4;3.0;5.2;6.4;9.0;
seeds;87;127;28;187;183;
spreads;3.4;4.8;3.8;5.4;8.4;
seeds;69;0;19;44;48;
spreads;1.6;3.6;5.2;6.8;8.2;
seeds;53;2;166;81;13;
spreads;19.4;26.4;31.6;31.6;40.4;
seeds;31;11;133;192;180;
spreads;13.2;16.2;18.2;23.2;37.8;
seeds;196;52;107;16;108;
spreads;11.4;12.8;21.8;19.6;33.8;
seeds;6;1;18;117;106;
spreads;1.6;2.4;3.4;5.4;6.2;
seeds;1;108;90;122;161;
spreads;2.4;3.4;4.0;5.6;5.6;
seeds;135;67;179;41;90;
spreads;1.2;2.4;3.6;4.2;5.4;
seeds;46;166;4;119;126;
spreads;1.6;3.8;8.6;6.2;6.8;
seeds;178;55;192;188;159;
spreads;1.8;2.4;6.8;6.4;8.0;
seeds;98;64;181;126;170;
spreads;1.6;2.6;3.8;4.4;6.2;
